Average Diameter,Time
5.659378,0.0203043
5.659637,0.0429907
5.659134,0.0620427
5.661957,0.0808201
5.664807,0.1012415
5.669802,0.1208026
5.673401,0.1396688
5.677206,0.158831
5.679191,0.1778949
5.680316,0.1965886
5.674463,0.2158974
5.670872,0.2465719
5.667752,0.2657793
5.664937,0.2867998
5.662369,0.305515
5.659552,0.3232786
5.656792,0.342158
5.652973,0.3621818
5.649374,0.3856067
5.646182,0.4072589
5.643059,0.429714
5.631872,0.4542266
5.636675,0.4733561
5.639492,0.495446
5.641612,0.518492
5.637452,0.5403146
5.638619,0.5624043
5.64004,0.5843261
5.642422,0.6074989
5.642502,0.6294022
5.642829,0.6514446
5.64452,0.67535
5.645439,0.6955058
5.64658,0.7172044
5.648371,0.7364703
5.650133,0.7537571
5.652254,0.7724724
5.654257,0.791582
5.656261,0.810165
5.658263,0.8292738
5.660091,0.8483961
5.662435,0.8672572
5.660492,0.8883134
5.658358,0.9072876
5.654376,0.9262878
5.651188,0.9450681
5.649413,0.965342
5.64773,0.9844282
5.646194,1.003405
5.64478,1.022552
5.643498,1.04227
5.642257,1.060355
5.641013,1.079598
5.639667,1.101229
5.63835,1.120513
5.636757,1.13927
5.634745,1.158109
5.632842,1.177333
5.631006,1.197034
5.629064,1.214881
5.627372,1.233944
5.625738,1.25308
5.623852,1.271875
5.62174,1.290812
5.619725,1.311658
5.618323,1.3298
5.617083,1.348693
5.615781,1.36753
5.615449,1.386551
5.615315,1.405622
5.615201,1.423573
5.614772,1.442344
5.613989,1.461593
5.613916,1.48042
5.612589,1.499207
5.6115,1.52022
5.610494,1.539549
5.609584,1.559429
5.608715,1.578468
5.607877,1.597479
5.607068,1.616438
5.606514,1.634972
5.60621,1.654713
5.605964,1.674362
5.605564,1.693638
5.604849,1.714068
5.60442,1.735678
5.60408,1.755428
5.603836,1.775143
5.603604,1.794704
5.603894,1.814048
5.604246,1.834442
5.604625,1.853343
5.605034,1.87257
5.605428,1.891502
5.605971,1.910404
5.606798,1.929464
5.60787,1.950871
5.608558,1.969863
5.609121,1.988454
5.610785,2.007444
5.61138,2.026179
5.612555,2.045543
5.613418,2.065158
5.615439,2.083163
5.617141,2.101551
5.618466,2.120346
5.620253,2.140149
5.622137,2.160919
5.62361,2.18002
5.624346,2.199623
5.625165,2.218585
5.626155,2.238235
5.626322,2.257337
5.627084,2.2764
5.627583,2.295399
5.628372,2.313194
5.628579,2.33109
5.629021,2.351557
5.630515,2.373071
5.631344,2.39271
5.631333,2.412436
5.632193,2.429893
5.633027,2.44913
5.633321,2.468742
5.633769,2.488524
5.633844,2.507145
5.634804,2.527068
5.635785,2.546699
5.636681,2.56569
5.637938,2.586888
5.639276,2.60667
5.64056,2.625528
5.641702,2.644455
5.642771,2.664114
5.643813,2.683198
5.644069,2.702385
5.64407,2.721185
5.644518,2.739944
5.644688,2.759296
5.644772,2.777742
5.645196,2.798148
5.644833,2.817498
5.64439,2.837147
5.644168,2.855613
5.643934,2.874127
5.644388,2.893464
5.644843,2.913124
5.645277,2.932652
5.645573,2.951079
5.645828,2.970151
5.646067,2.989629
5.646216,3.010737
5.646363,3.029787
5.646502,3.049145
5.646843,3.068145
5.647254,3.087211
5.647668,3.106183
5.648095,3.125074
5.648507,3.144284
5.648909,3.179595
5.649318,3.198393
5.64963,3.219206
5.650111,3.2384
5.650583,3.25761
5.651162,3.276669
5.651699,3.294653
5.652122,3.313423
5.652534,3.33168
5.652923,3.349332
5.65328,3.367314
5.653587,3.386323
