Diameter,Time
2.564713,3.068113
2.578735,3.086945
2.579437,3.106183
2.583328,3.125236
2.583694,3.144354
2.583771,3.163839
2.592285,3.182881
2.584412,3.201654
2.585037,3.220357
2.599823,3.241449
2.585968,3.260361
2.58223,3.278857
2.581482,3.298008
2.60527,3.31713
2.616043,3.337108
2.601898,3.356776
2.605484,3.376633
2.613998,3.39582
2.616226,3.414692
2.614532,3.433735
2.614487,3.4545
2.614151,3.474718
2.616165,3.494968
2.598816,3.51376
2.597778,3.53234
2.610748,3.550961
2.607178,3.569761
2.607193,3.588197
2.60701,3.607554
2.608505,3.626255
2.607605,3.64532
2.606598,3.665748
2.606644,3.685276
2.60199,3.703764
2.614716,3.722436
2.621841,3.741739
2.622009,3.760813
2.622131,3.780605
2.622162,3.799131
2.626617,3.818244
2.626755,3.837496
2.621735,3.856037
2.626541,3.876844
2.631271,3.895219
2.626648,3.914806
2.623779,3.933759
2.624207,3.953131
2.62439,3.972806
2.615875,3.991857
2.616272,4.010796
2.607483,4.030264
2.615768,4.049335
2.620392,4.068295
2.628815,4.087588
2.641129,4.107048
2.643173,4.126514
2.643219,4.145602
2.64888,4.163434
2.649185,4.182445
2.641586,4.200237
2.649475,4.219693
2.62854,4.239388
2.672974,4.259238
2.670349,4.278101
2.67009,4.299009
2.67308,4.318103
2.676636,4.33694
2.676575,4.355864
2.676727,4.375053
2.67543,4.393904
2.692169,4.413122
2.694794,4.433269
2.689865,4.452085
2.695557,4.469883
2.700455,4.488932
2.70047,4.509502
2.700943,4.529053
2.690979,4.548003
2.691193,4.566881
2.689346,4.585984
2.685791,4.604826
2.676331,4.623888
2.680573,4.643578
2.680527,4.66397
2.675674,4.681919
2.671402,4.701227
2.673859,4.722215
2.671677,4.741879
2.671906,4.761882
2.675018,4.780613
2.675034,4.798455
2.687012,4.817826
2.683212,4.836772
2.68689,4.855482
2.682693,4.874602
2.682526,4.894092
2.679291,4.912127
2.672134,4.932334
2.678757,4.950893
2.671814,4.970267
2.67865,4.99021
2.689346,5.009939
2.689072,5.030499
2.69397,5.049812
2.694519,5.06937
2.693298,5.088267
2.693283,5.106988
2.68721,5.125319
2.687225,5.145936
2.691818,5.164768
2.687119,5.18368
2.687073,5.203366
2.68689,5.223953
2.692886,5.243036
2.693069,5.262804
2.691895,5.28051
2.683884,5.298218
2.680634,5.317489
2.680679,5.336419
2.682861,5.357461
2.738434,5.37692
2.73024,5.395957
2.73027,5.414838
2.754517,5.43397
2.766647,5.451992
2.767227,5.470904
2.778259,5.488843
2.762512,5.507942
2.76796,5.527841
2.782593,5.546889
2.76886,5.566607
2.789368,5.585305
2.763123,5.60393
2.763275,5.623388
2.782898,5.642982
2.778076,5.660783
2.76474,5.679064
2.76564,5.696799
2.747437,5.714618
2.755753,5.734203
2.75766,5.75318
2.756927,5.773703
2.757843,5.793114
2.757721,5.812148
2.76535,5.831039
2.762299,5.87219
2.762619,5.891836
2.76181,5.911191
2.762054,5.930874
2.754837,5.948698
2.767624,5.967615
2.772079,5.988246
2.775589,6.008412
2.780075,6.027903
2.785477,6.046763
2.778702,6.066338
2.783905,6.085261
2.783585,6.103125
2.783142,6.122411
2.786591,6.141297
2.786682,6.160057
2.805313,6.179009
2.805573,6.199268
2.805832,6.218975
2.801788,6.237837
2.805756,6.256974
2.795975,6.275871
2.792984,6.294997
2.792831,6.314625
2.792969,6.33408
2.786453,6.353011
2.80246,6.372139
2.814896,6.391053
2.814896,6.411339
2.814835,6.429999
2.814468,6.447958
2.793671,6.466913
2.790192,6.486008
2.790222,6.50487
2.778061,6.52508
2.769211,6.544529
2.768967,6.563653
2.768753,6.583314
2.781509,6.601314
2.781982,6.621077
2.78186,6.640744
2.787445,6.660082
2.78746,6.678866
2.765015,6.697834
2.776627,6.717146
2.765396,6.735932
2.764572,6.754951
2.784088,6.773867
2.783829,6.792947
2.806015,6.810425
2.812653,6.831673
2.812607,6.851225
2.812256,6.869728
2.817657,6.889046
2.820068,6.908235
2.81955,6.9278
2.847839,6.952975
2.85762,6.971783
2.891983,6.990842
2.905472,7.010821
2.955353,7.031178
2.963608,7.050818
2.9776,7.070102
2.995117,7.089021
3.007965,7.108321
3.012802,7.127665
3.010666,7.146012
3.009979,7.164034
3.011246,7.184093
3.011032,7.203857
3.029648,7.223718
3.058746,7.24397
3.032043,7.264029
3.031113,7.282358
2.985153,7.301955
3.018829,7.319745
2.985336,7.33864
2.93869,7.35769
2.937042,7.375792
2.938644,7.394662
2.942551,7.413963
2.974731,7.434049
2.991409,7.454252
3.016495,7.473976
3.021332,7.493317
3.033508,7.513743
3.044739,7.532293
3.035065,7.550318
3.036026,7.569809
3.055008,7.589044
3.035767,7.608714
3.017975,7.627733
3.100571,7.646767
3.007278,7.666152
3.025864,7.686002
3.04335,7.704771
3.026413,7.723039
3.019577,7.741062
2.993622,7.76072
2.993423,7.77964
2.992813,7.7991
2.990967,7.818103
2.986649,7.836432
2.985718,7.857017
2.983383,7.877191
2.973862,7.895873
2.973892,7.914448
2.945145,7.933616
2.945221,7.952618
2.945129,7.971639
2.942123,7.990915
2.946533,8.010751
2.942978,8.030231
2.93576,8.049708
2.943008,8.068597
2.920105,8.08929
2.918304,8.108711
2.897873,8.128373
2.89798,8.14769
2.88356,8.167475
2.880692,8.187373
2.894073,8.206129
2.90152,8.225495
2.901672,8.24522
2.893723,8.264691
2.891327,8.283669
2.891861,8.304617
2.883072,8.32408
2.879822,8.342874
2.875198,8.361855
2.879547,8.380748
2.909302,8.399635
2.921143,8.418774
2.937302,8.437806
2.947998,8.456805
2.948257,8.475639
2.948151,8.494733
2.978592,8.515237
2.979324,8.5348
2.98616,8.553806
2.989059,8.572611
3.000916,8.591651
3.010193,8.610045
3.01149,8.628594
3.012283,8.648046
3.011795,8.667675
3.005905,8.686903
3.003159,8.705023
2.963242,8.725264
2.96109,8.744825
2.95488,8.762866
2.955048,8.781844
2.955231,8.8007
2.966766,8.819678
2.956543,8.838934
2.969315,8.857795
2.971161,8.876677
2.998337,8.895982
2.952011,8.915671
2.95163,8.935937
2.951416,8.955371
2.950333,8.973892
2.944595,8.993905
2.9366,9.013113
2.946564,9.032114
2.946945,9.051024
2.945023,9.06993
2.953735,9.088916
2.985886,9.106918
2.993866,9.126021
2.993317,9.146222
2.993378,9.165763
2.986511,9.184648
2.993103,9.203901
2.957947,9.223832
2.958817,9.243884
2.944916,9.262866
2.947495,9.282411
2.957153,9.301658
2.957336,9.320717
2.978531,9.339902
2.97879,9.360221
2.978775,9.379613
2.986771,9.398597
2.973312,9.417567
2.972122,9.435524
2.96521,9.454789
2.987747,9.473289
2.989792,9.493087
2.989868,9.512739
2.978836,9.531914
2.978577,9.550677
2.996216,9.571105
2.975952,9.590987
2.961899,9.610543
2.960663,9.629474
2.993896,9.64865
2.979767,9.666471
2.980499,9.684582
2.977371,9.704128
2.976776,9.723501
2.998032,9.742668
3.013474,9.761103
3.026077,9.780272
3.03978,9.800259
3.058029,9.819707
3.088715,9.838647
3.13121,9.858325
3.131195,9.878683
3.131119,9.899203
3.131058,9.918366
3.131058,9.937627
3.126419,9.957244
3.107803,9.975175
3.106308,9.995537
3.124481,10.01412
3.113419,10.033
3.104172,10.05261
3.099762,10.07004
3.088333,10.08986
3.100082,10.10886
3.089828,10.12777
3.101028,10.14668
3.087677,10.16465
3.090698,10.1825
3.10112,10.20155
3.101395,10.22146
3.105942,10.24067
3.114059,10.26005
3.106415,10.27961
3.116867,10.299
3.117661,10.31825
3.095703,10.33836
