Diameter,Time
6.116745,0
6.140732,0.0181185
6.139648,0.0385557
6.123459,0.0566476
6.109802,0.0755612
6.109467,0.0953334
5.923447,0.1141974
6.382767,0.1355276
6.382767,0.154131
6.382767,0.1730746
6.382767,0.1909649
6.382767,0.2089457
6.382767,0.2278373
6.382767,0.246758
6.382767,0.265788
6.020386,0.2840494
5.930435,0.3029417
6.061386,0.3219607
5.670364,0.3426884
5.635773,0.3618891
5.590042,0.3796942
5.571808,0.3988545
5.548126,0.4176996
5.528046,0.436899
5.439285,0.4549364
5.490067,0.4728056
5.462296,0.4916698
5.462906,0.5106236
5.434799,0.5296993
5.393753,0.549332
5.210144,0.5680616
5.081253,0.5868533
5.050797,0.6046876
5.02803,0.6236446
4.986374,0.6421373
4.93866,0.6596196
4.882477,0.6774771
4.83963,0.6961319
4.823334,0.7140135
4.751724,0.732012
4.662689,0.7530286
4.625885,0.7709082
4.535461,0.7887117
4.518463,0.8064141
4.47258,0.8243653
4.460358,0.8422915
4.425659,0.8602347
4.389359,0.8781297
4.371338,0.8966208
4.352173,0.9145359
4.234589,0.932551
4.224899,0.9523002
4.219315,0.9713885
4.12912,0.9902513
4.119568,1.007953
4.090897,1.025999
4.060745,1.043788
4.026596,1.062798
3.777908,1.080759
3.817001,1.098896
3.817001,1.116695
3.759399,1.134591
3.741364,1.154463
3.730515,1.172169
3.729004,1.190574
3.699524,1.208288
3.674927,1.226313
3.625259,1.245327
3.623749,1.264289
3.605011,1.282809
3.600891,1.30062
3.529434,1.318696
3.494049,1.336576
3.481171,1.356581
3.480164,1.374506
3.471405,1.393121
3.448685,1.410609
3.447266,1.429629
3.432739,1.447586
3.384567,1.465851
3.347702,1.484378
3.335205,1.502366
3.324127,1.519873
3.486664,1.539094
3.270966,1.559708
3.368958,1.578639
3.346085,1.596215
3.3741,1.613988
3.346893,1.632097
3.346954,1.650052
3.359329,1.668247
3.347809,1.686261
3.345459,1.703587
3.337677,1.721619
3.319016,1.740777
3.31282,1.760309
3.290146,1.779628
3.237259,1.79728
3.218414,1.815187
3.186844,1.833099
3.168533,1.851237
3.169083,1.869981
3.155411,1.888793
3.169525,1.906782
3.126007,1.924662
3.126938,1.942622
3.12117,1.961902
3.123642,1.979539
3.063583,1.998153
3.253235,2.016007
3.131302,2.034007
3.129822,2.053061
3.128418,2.070918
3.042877,2.088849
3.107513,2.106799
3.046539,2.124711
2.930862,2.142807
2.944656,2.162365
2.948273,2.180644
2.834244,2.198855
2.93103,2.216887
2.835953,2.234822
2.913422,2.2537
2.899323,2.271866
2.943039,2.290579
2.893219,2.308621
2.941177,2.327053
2.981995,2.344895
2.909821,2.364763
2.901672,2.38337
2.866043,2.401181
2.86673,2.420133
2.866806,2.438811
2.875275,2.457482
2.875275,2.476452
2.872131,2.496373
2.771698,2.514284
2.788223,2.531927
2.788223,2.549431
2.788223,2.570603
2.788223,2.588324
2.788223,2.607454
2.788223,2.626172
2.788223,2.645094
2.788223,2.663092
2.788223,2.680994
2.788223,2.699067
2.894501,2.717031
2.918106,2.735155
2.869019,2.754076
2.879852,2.773874
2.907074,2.792178
2.880875,2.810061
2.940689,2.828085
2.847015,2.845876
2.884537,2.863981
2.828278,2.881886
2.902832,2.900003
2.905365,2.917742
2.904846,2.936887
2.913254,2.954748
2.932297,2.974098
2.962769,2.992936
3.001953,3.011471
2.952576,3.031279
2.944504,3.050017
2.999664,3.067903
2.957901,3.087416
2.97435,3.105502
2.954285,3.124305
2.954193,3.143451
2.949097,3.161264
2.844437,3.180422
2.956696,3.198178
2.852112,3.216249
2.975922,3.234364
2.991287,3.253115
3.006653,3.270917
3.072922,3.288887
2.960114,3.30699
2.786987,3.324711
2.80423,3.342849
2.845032,3.360786
2.759262,3.378633
2.744644,3.398307
2.742599,3.415727
2.748657,3.433625
2.750504,3.451792
2.771698,3.46961
2.777084,3.489195
2.738541,3.507751
2.622467,3.525595
2.675293,3.543544
2.781708,3.562477
2.583939,3.579569
2.755829,3.599409
2.788223,3.617939
2.781891,3.636871
2.759277,3.654846
2.755524,3.672753
2.745804,3.69237
2.51741,3.70977
2.592529,3.727705
2.529709,3.746597
2.587936,3.764665
2.593765,3.782874
