Diameter,Time
1.952591,7.28672
2.342209,7.305402
2.577301,7.324598
2.065933,7.343313
2.358994,7.361623
2.681274,7.381226
2.694809,7.400293
2.682968,7.419284
2.695053,7.438076
2.689026,7.457056
2.700684,7.47601
2.706146,7.49643
2.810318,7.516453
2.811478,7.535141
2.833725,7.554029
2.844208,7.573214
2.851196,7.591934
2.848129,7.610676
2.834946,7.630067
2.8302,7.650356
2.802597,7.669106
2.780273,7.688398
2.709366,7.708644
2.732437,7.727953
2.711838,7.747086
2.733521,7.765806
2.752991,7.785033
2.80426,7.804318
2.814194,7.823983
2.806244,7.843164
2.805023,7.861642
2.761505,7.880067
2.75264,7.89899
2.671005,7.91938
2.656647,7.938888
2.630005,7.957788
2.631241,7.976912
2.632202,7.995687
2.604477,8.014508
2.606888,8.033793
2.608475,8.052487
2.525986,8.071335
2.402374,8.090742
2.398773,8.109589
2.601532,8.131024
2.589706,8.150322
2.650665,8.169176
2.570465,8.188394
2.657166,8.207154
2.612503,8.226018
2.612061,8.244459
2.642365,8.262875
2.499069,8.281429
2.606979,8.301052
2.603943,8.32057
2.735107,8.341466
2.919357,8.36043
2.937683,8.379334
2.953781,8.39758
2.972809,8.416339
3.01796,8.435349
3.015381,8.454255
2.999863,8.474344
2.989716,8.493552
2.912338,8.513257
2.799881,8.532576
3.16127,8.553498
3.13269,8.572993
2.516357,8.591887
2.762192,8.611257
2.290283,8.629987
2.735046,8.649353
2.938446,8.668246
3.16098,8.687101
3.158432,8.706322
3.170074,8.725884
3.166306,8.745666
3.135132,8.766444
3.134491,8.785457
3.057678,8.804294
3.126144,8.823272
3.032745,8.842971
3.031021,8.861869
3.461502,8.88075
3.555786,8.900129
3.084015,8.919012
3.124039,8.937442
3.256195,8.956067
3.250076,8.976758
3.301926,8.996749
3.293488,9.015468
3.294205,9.034467
3.293457,9.053432
3.345703,9.073606
3.304855,9.092258
3.464081,9.111214
3.143433,9.130128
3.296249,9.149206
3.32164,9.168229
3.227646,9.187535
3.179245,9.207043
3.222885,9.225939
3.319336,9.244884
2.847748,9.264054
3.122284,9.282713
3.131393,9.301731
3.218201,9.320658
