Diameter,Time
5.993774,0
5.98436,0.0183957
5.993698,0.0400122
5.975266,0.0600234
5.946701,0.0789023
5.937317,0.1002415
5.93483,0.1197824
5.702545,0.1388437
5.702545,0.1579201
5.702545,0.1768647
5.702545,0.1957307
5.702545,0.2145453
5.702545,0.2337219
5.702545,0.2523416
5.702545,0.2714054
5.540924,0.2913817
5.453049,0.3123076
5.105362,0.3311645
5.089676,0.3504034
5.729019,0.3696183
5.205017,0.389623
4.91188,0.4085343
4.8461,0.4281697
4.516037,0.4474274
5.344864,0.4667818
4.435959,0.4855742
4.435959,0.5042905
4.435959,0.5253395
4.181931,0.5449445
4.546127,0.5658113
4.160034,0.5852841
4.277832,0.6042253
4.207748,0.6231732
4.281601,0.6425706
4.204956,0.6612052
3.940323,0.6802036
3.991013,0.6993402
3.992981,0.7182464
4.088989,0.7390854
4.261765,0.7583883
3.927536,0.7773078
3.755783,0.7961326
3.565903,0.8151754
3.691162,0.8350575
3.792419,0.8540631
3.833206,0.8735448
3.704178,0.8924726
3.73497,0.9117999
3.666901,0.9313246
3.568283,0.9521165
3.628296,0.9712353
3.436142,0.99028
3.557327,1.009338
3.523605,1.027661
3.434647,1.04658
3.431381,1.065268
3.348785,1.084126
3.302536,1.103111
3.271683,1.122096
3.25061,1.141254
3.242966,1.163223
3.239349,1.182695
3.235138,1.201458
3.065399,1.220597
3.059021,1.24014
3.169449,1.25815
2.971436,1.277061
3.082489,1.295948
3.07283,1.315197
3.079285,1.333973
3.08107,1.352286
3.082367,1.374061
3.083069,1.393072
3.112946,1.412079
3.114349,1.430002
3.114166,1.448998
3.100204,1.468254
3.098038,1.487258
3.075806,1.506138
3.068604,1.524233
3.046356,1.543246
3.035782,1.563563
3.011444,1.584592
2.862976,1.603277
2.876038,1.621631
2.861877,1.640521
2.922836,1.659496
2.823288,1.678451
2.865036,1.697265
2.86528,1.716372
2.864868,1.735666
2.852158,1.755424
2.826492,1.774252
2.79834,1.794684
2.74028,1.8138
2.727219,1.833397
2.721329,1.852257
2.690048,1.871348
2.640945,1.890542
2.609787,1.909643
2.681793,1.929202
2.6035,1.949409
2.584579,1.968413
2.605515,1.987447
2.631195,2.008146
2.634659,2.02727
2.669922,2.046451
2.668777,2.065511
2.667938,2.08473
2.656403,2.104314
2.649124,2.124233
2.627914,2.143207
2.667496,2.162436
2.584457,2.181082
2.567642,2.200123
2.566849,2.220995
2.56105,2.240552
2.545135,2.259001
2.6353,2.278172
2.518311,2.296659
2.525101,2.31603
2.519135,2.335883
2.512054,2.355222
2.50621,2.374352
2.4935,2.393184
2.486465,2.412365
2.500214,2.433198
2.48616,2.452195
2.486649,2.471696
2.522385,2.491345
2.536636,2.510073
2.537155,2.529113
2.519821,2.549563
2.523315,2.569698
2.520294,2.588752
2.528839,2.608786
2.525711,2.627919
2.525284,2.648839
2.531097,2.667948
2.522263,2.686863
2.505234,2.705829
2.461166,2.724667
2.452408,2.743598
2.427887,2.762344
2.427383,2.781302
2.427353,2.800264
2.432419,2.818988
2.426971,2.838067
2.415436,2.859741
2.40451,2.879234
2.404678,2.898111
2.409576,2.917225
2.374603,2.936161
2.373474,2.95508
2.3647,2.974434
2.373596,2.994998
2.4048,3.01451
2.404922,3.033635
2.427704,3.052718
2.429031,3.073482
2.456161,3.092359
2.430466,3.11037
2.450317,3.129327
2.450516,3.148316
2.429062,3.167456
2.450348,3.186385
2.450043,3.205269
2.42569,3.224284
2.436508,3.243057
2.404633,3.262022
2.405182,3.282599
2.418243,3.301847
2.405197,3.320354
2.418365,3.339367
2.431061,3.358134
2.432236,3.377379
2.432693,3.396169
2.410721,3.415275
2.40274,3.434479
2.401596,3.453332
2.395721,3.472604
2.380173,3.492936
2.366791,3.512221
2.366562,3.531375
2.379547,3.550237
2.379517,3.569256
2.395493,3.588439
2.438843,3.607015
2.44754,3.626044
2.447205,3.645635
2.42807,3.664743
2.412811,3.683649
2.422195,3.703867
2.408295,3.723332
2.407883,3.742273
2.408005,3.761287
2.41098,3.780277
2.449036,3.79913
2.466812,3.818235
2.45784,3.83726
2.466721,3.85603
2.45842,3.875469
2.468918,3.894574
2.466446,3.915099
2.466949,3.933454
2.467377,3.952265
2.465012,3.971512
2.468918,3.990448
2.466751,4.009255
2.466309,4.028199
2.463928,4.047235
2.459183,4.06676
2.453201,4.085556
2.412277,4.104648
2.429672,4.125258
2.425369,4.144312
2.415421,4.163315
2.411652,4.182198
2.40329,4.201051
2.403381,4.220141
2.403793,4.238504
2.3974,4.257169
2.397003,4.276337
2.392792,4.29541
2.396545,4.314719
2.407928,4.335152
2.396072,4.354596
2.391159,4.373595
2.379974,4.392672
2.38002,4.41148
2.377884,4.430472
2.31221,4.449502
2.305237,4.468619
2.299545,4.487526
2.297729,4.507105
2.310318,4.526026
2.311584,4.547357
2.311996,4.567032
2.321716,4.586537
2.315887,4.60542
2.321609,4.62446
2.316925,4.643198
2.316696,4.662186
2.317291,4.68115
2.337082,4.700202
2.358429,4.718987
2.375656,4.738188
2.391129,4.758497
2.41095,4.776794
2.425858,4.795915
2.410919,4.814895
2.390549,4.83337
2.390533,4.852356
2.410736,4.871219
2.440933,4.890284
2.405396,4.909344
2.354218,4.928326
2.354416,4.947109
2.447174,4.96741
2.448166,4.986985
2.364914,5.006151
2.428955,5.024284
2.428848,5.04307
2.431992,5.06216
2.391388,5.080989
2.390701,5.100296
2.391418,5.1195
2.3927,5.138499
2.44696,5.157287
2.410065,5.177844
2.469254,5.19732
2.466644,5.216077
2.464615,5.235106
2.493103,5.254236
2.503082,5.271974
2.502747,5.291071
2.502441,5.309873
2.50267,5.330068
2.503067,5.348981
2.503052,5.368098
2.502823,5.388387
2.521591,5.40706
2.521729,5.425049
2.59613,5.444079
2.596024,5.463096
2.596176,5.480919
2.642136,5.500446
2.712311,5.519485
2.697983,5.539052
2.541489,5.55794
2.295609,5.576909
2.616898,5.597459
2.546112,5.615902
2.571625,5.635029
2.482941,5.653697
2.529099,5.672239
2.499191,5.691212
2.498322,5.710225
2.479691,5.730497
2.479843,5.751198
2.480713,5.77012
2.481033,5.788982
2.48262,5.809601
2.488617,5.829751
2.515656,5.850037
2.48967,5.869592
2.514862,5.889892
2.524963,5.90874
2.51001,5.927755
2.510666,5.947623
2.500641,5.966653
2.499847,5.986288
2.498657,6.005101
